# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.247703e+00	6.273574e-01	6.203457e-01	4.674680e-02	5.356739e-01	-4.889271e-01	5.123005e-01	3.505830e-03	-6.591506e-04	-2.122901e-02	-1.127366e-02	-9.955356e-03
2             	1.370596e+00	6.901802e-01	6.804162e-01	5.511218e-02	5.821147e-01	-5.270025e-01	5.545586e-01	4.882019e-03	-4.795867e-04	-2.576106e-02	-1.336012e-02	-1.240095e-02
3             	1.191402e+00	5.987052e-01	5.926968e-01	6.978296e-02	5.078593e-01	-4.380764e-01	4.729679e-01	3.004207e-03	1.427154e-03	-1.975118e-02	-8.448435e-03	-1.130274e-02
4             	9.752880e-01	4.887898e-01	4.864983e-01	7.946635e-02	4.187262e-01	-3.392598e-01	3.789930e-01	1.145743e-03	2.621751e-03	-1.380109e-02	-4.278796e-03	-9.522298e-03
5             	7.793894e-01	3.885411e-01	3.908483e-01	9.066680e-02	3.408563e-01	-2.501895e-01	2.955229e-01	-1.153555e-03	3.699579e-03	-8.497799e-03	-5.493209e-04	-7.948478e-03
6             	6.261724e-01	3.109039e-01	3.152684e-01	1.056459e-01	2.847600e-01	-1.791141e-01	2.319370e-01	-2.182250e-03	3.397096e-03	-6.373273e-03	2.104600e-04	-6.583733e-03
7             	5.057346e-01	2.515497e-01	2.541849e-01	1.224329e-01	2.427594e-01	-1.203265e-01	1.815430e-01	-1.317598e-03	2.130401e-03	-8.358497e-03	-2.048848e-03	-6.309649e-03
8             	4.181637e-01	2.098168e-01	2.083470e-01	1.321755e-01	2.112416e-01	-7.906606e-02	1.451538e-01	7.349087e-04	-4.704373e-05	-1.324539e-02	-6.669740e-03	-6.575652e-03
9             	3.569215e-01	1.820916e-01	1.748299e-01	1.389720e-01	1.876606e-01	-4.868857e-02	1.181746e-01	3.630848e-03	-2.938136e-03	-2.035187e-02	-1.311407e-02	-7.237800e-03
10            	3.131855e-01	1.627235e-01	1.504620e-01	1.407047e-01	1.683805e-01	-2.767580e-02	9.802817e-02	6.130757e-03	-5.493307e-03	-2.571881e-02	-1.835271e-02	-7.366100e-03
11            	2.817724e-01	1.487898e-01	1.329826e-01	1.404005e-01	1.532806e-01	-1.288004e-02	8.308031e-02	7.903624e-03	-7.371901e-03	-2.883540e-02	-2.178960e-02	-7.045800e-03
12            	2.605671e-01	1.390870e-01	1.214801e-01	1.415153e-01	1.433447e-01	-1.829407e-03	7.258707e-02	8.803441e-03	-8.251566e-03	-2.982827e-02	-2.316570e-02	-6.662570e-03
13            	2.475821e-01	1.324118e-01	1.151703e-01	1.439218e-01	1.383752e-01	5.546555e-03	6.641434e-02	8.620753e-03	-8.108974e-03	-2.827534e-02	-2.224664e-02	-6.028694e-03
14            	2.403373e-01	1.280266e-01	1.123107e-01	1.469714e-01	1.366894e-01	1.028202e-02	6.320367e-02	7.857927e-03	-7.568442e-03	-2.591433e-02	-2.052561e-02	-5.388725e-03
15            	2.381024e-01	1.261944e-01	1.119080e-01	1.493395e-01	1.378429e-01	1.149656e-02	6.317318e-02	7.143208e-03	-7.364878e-03	-2.445898e-02	-1.959437e-02	-4.864613e-03
16            	2.378641e-01	1.257362e-01	1.121279e-01	1.511052e-01	1.399383e-01	1.116692e-02	6.438568e-02	6.804140e-03	-7.621106e-03	-2.468358e-02	-1.996290e-02	-4.720685e-03
17            	2.379831e-01	1.256893e-01	1.122938e-01	1.524891e-01	1.422567e-01	1.023243e-02	6.601212e-02	6.697745e-03	-8.459360e-03	-2.582236e-02	-2.137054e-02	-4.451820e-03
18            	2.378639e-01	1.250496e-01	1.128144e-01	1.533955e-01	1.443580e-01	9.037493e-03	6.766024e-02	6.117604e-03	-9.463052e-03	-2.574005e-02	-2.233307e-02	-3.406971e-03
19            	2.372904e-01	1.232964e-01	1.139941e-01	1.535424e-01	1.455508e-01	7.991672e-03	6.877955e-02	4.651134e-03	-9.806812e-03	-2.317757e-02	-2.139560e-02	-1.781973e-03
20            	2.364780e-01	1.211024e-01	1.153756e-01	1.528001e-01	1.456916e-01	7.108527e-03	6.929154e-02	2.863371e-03	-8.998001e-03	-1.922797e-02	-1.861198e-02	-6.159836e-04
21            	2.358845e-01	1.191865e-01	1.166979e-01	1.515472e-01	1.451601e-01	6.387028e-03	6.938655e-02	1.244305e-03	-7.314771e-03	-1.495851e-02	-1.479402e-02	-1.644824e-04
22            	2.348016e-01	1.174074e-01	1.173943e-01	1.501622e-01	1.438123e-01	6.349934e-03	6.873117e-02	6.535425e-06	-5.160657e-03	-1.115368e-02	-1.073750e-02	-4.161836e-04
23            	2.325494e-01	1.154207e-01	1.171287e-01	1.495037e-01	1.416819e-01	7.821800e-03	6.693007e-02	-8.539849e-04	-2.805234e-03	-8.064025e-03	-6.837247e-03	-1.226779e-03
24            	2.291974e-01	1.131975e-01	1.159999e-01	1.501700e-01	1.390558e-01	1.111427e-02	6.397075e-02	-1.401220e-03	-5.335986e-04	-5.860290e-03	-3.463744e-03	-2.396547e-03
25            	2.248043e-01	1.105189e-01	1.142853e-01	1.526863e-01	1.360970e-01	1.658926e-02	5.975389e-02	-1.883193e-03	1.354742e-03	-4.187988e-03	-7.392519e-04	-3.448736e-03
26            	2.207622e-01	1.079765e-01	1.127857e-01	1.561519e-01	1.334218e-01	2.273007e-02	5.534587e-02	-2.404609e-03	2.502117e-03	-2.953950e-03	1.025142e-03	-3.979092e-03
27            	2.176074e-01	1.058910e-01	1.117164e-01	1.595306e-01	1.312899e-01	2.824072e-02	5.152460e-02	-2.912712e-03	2.811893e-03	-2.144761e-03	1.739513e-03	-3.884274e-03
28            	2.153093e-01	1.044295e-01	1.108798e-01	1.622011e-01	1.297574e-01	3.244369e-02	4.865686e-02	-3.225183e-03	2.558218e-03	-1.761318e-03	1.677558e-03	-3.438877e-03
29            	2.136484e-01	1.034426e-01	1.102057e-01	1.645696e-01	1.289462e-01	3.562340e-02	4.666141e-02	-3.381552e-03	2.009718e-03	-1.516904e-03	1.251266e-03	-2.768170e-03
30            	2.121110e-01	1.025738e-01	1.095372e-01	1.668957e-01	1.287793e-01	3.811638e-02	4.533147e-02	-3.481716e-03	1.524161e-03	-1.210432e-03	9.189453e-04	-2.129377e-03
31            	2.103665e-01	1.014441e-01	1.089225e-01	1.690601e-01	1.290308e-01	4.002935e-02	4.450072e-02	-3.739201e-03	1.234840e-03	-4.699682e-04	9.998560e-04	-1.469824e-03
32            	2.080838e-01	9.990787e-02	1.081759e-01	1.707246e-01	1.292202e-01	4.150442e-02	4.385789e-02	-4.134019e-03	1.280809e-03	5.141203e-04	1.537870e-03	-1.023749e-03
33            	2.057033e-01	9.823608e-02	1.074673e-01	1.716056e-01	1.292483e-01	4.235721e-02	4.344557e-02	-4.615593e-03	1.460392e-03	1.674801e-03	2.297792e-03	-6.229909e-04
34            	2.034896e-01	9.664875e-02	1.068409e-01	1.721426e-01	1.291534e-01	4.298920e-02	4.308212e-02	-5.096061e-03	1.785346e-03	2.733409e-03	3.152050e-03	-4.186415e-04
35            	2.016568e-01	9.527502e-02	1.063817e-01	1.723101e-01	1.289148e-01	4.339522e-02	4.275981e-02	-5.553360e-03	2.040523e-03	3.739728e-03	3.910387e-03	-1.706591e-04
36            	2.004210e-01	9.417111e-02	1.062499e-01	1.724133e-01	1.287646e-01	4.364872e-02	4.255792e-02	-6.039387e-03	2.315973e-03	4.808563e-03	4.720255e-03	8.830806e-05
37            	1.995971e-01	9.329073e-02	1.063064e-01	1.724291e-01	1.285694e-01	4.385971e-02	4.235485e-02	-6.507818e-03	2.562620e-03	5.909664e-03	5.517452e-03	3.922118e-04
38            	1.990216e-01	9.264880e-02	1.063728e-01	1.726025e-01	1.284347e-01	4.416772e-02	4.213351e-02	-6.862011e-03	2.841337e-03	6.799037e-03	6.240855e-03	5.581818e-04
39            	1.985440e-01	9.219707e-02	1.063469e-01	1.727398e-01	1.282232e-01	4.451663e-02	4.185329e-02	-7.074931e-03	3.131885e-03	7.451066e-03	6.857418e-03	5.936480e-04
40            	1.981213e-01	9.189979e-02	1.062215e-01	1.730212e-01	1.280795e-01	4.494173e-02	4.156886e-02	-7.160854e-03	3.440314e-03	7.802790e-03	7.341710e-03	4.610807e-04
41            	1.978313e-01	9.176789e-02	1.060634e-01	1.732541e-01	1.280036e-01	4.525051e-02	4.137656e-02	-7.147744e-03	3.671357e-03	7.895806e-03	7.619260e-03	2.765460e-04
42            	1.976920e-01	9.169252e-02	1.059995e-01	1.733051e-01	1.280359e-01	4.526916e-02	4.138339e-02	-7.153501e-03	3.782894e-03	7.861139e-03	7.713464e-03	1.476752e-04
43            	1.977111e-01	9.153683e-02	1.061743e-01	1.731726e-01	1.281226e-01	4.504997e-02	4.153632e-02	-7.318743e-03	3.766465e-03	7.958231e-03	7.745581e-03	2.126506e-04
44            	1.978493e-01	9.122881e-02	1.066205e-01	1.729895e-01	1.283112e-01	4.467831e-02	4.181642e-02	-7.695854e-03	3.651672e-03	8.301688e-03	7.802516e-03	4.991719e-04
45            	1.980351e-01	9.075194e-02	1.072832e-01	1.729633e-01	1.285820e-01	4.438128e-02	4.210037e-02	-8.265606e-03	3.455926e-03	8.979317e-03	7.945585e-03	1.033733e-03
46            	1.982688e-01	9.015817e-02	1.081106e-01	1.730408e-01	1.288980e-01	4.414279e-02	4.237762e-02	-8.976218e-03	3.186197e-03	9.961014e-03	8.166704e-03	1.794310e-03
47            	1.984561e-01	8.950203e-02	1.089541e-01	1.732808e-01	1.291752e-01	4.410558e-02	4.253482e-02	-9.726041e-03	2.938292e-03	1.114747e-02	8.512026e-03	2.635441e-03
48            	1.986130e-01	8.884971e-02	1.097633e-01	1.736744e-01	1.294555e-01	4.421892e-02	4.261830e-02	-1.045678e-02	2.806631e-03	1.243997e-02	9.026616e-03	3.413353e-03
49            	1.986936e-01	8.826044e-02	1.104332e-01	1.740756e-01	1.296192e-01	4.445644e-02	4.258137e-02	-1.108639e-02	2.810832e-03	1.369296e-02	9.657312e-03	4.035649e-03
50            	1.987279e-01	8.773975e-02	1.109881e-01	1.745474e-01	1.297989e-01	4.474850e-02	4.252522e-02	-1.162420e-02	2.969739e-03	1.486014e-02	1.039981e-02	4.460331e-03
51            	1.987056e-01	8.731136e-02	1.113943e-01	1.750542e-01	1.299959e-01	4.505831e-02	4.246881e-02	-1.204145e-02	3.223066e-03	1.581665e-02	1.113139e-02	4.685259e-03
52            	1.986847e-01	8.703283e-02	1.116518e-01	1.756523e-01	1.303089e-01	4.534340e-02	4.248277e-02	-1.230949e-02	3.489695e-03	1.640986e-02	1.169462e-02	4.715233e-03
53            	1.985576e-01	8.688514e-02	1.116724e-01	1.763766e-01	1.305909e-01	4.578568e-02	4.240261e-02	-1.239365e-02	3.659821e-03	1.653737e-02	1.192850e-02	4.608862e-03
54            	1.984204e-01	8.689052e-02	1.115299e-01	1.772531e-01	1.309176e-01	4.633546e-02	4.229107e-02	-1.231969e-02	3.678385e-03	1.621888e-02	1.178783e-02	4.431058e-03
55            	1.982722e-01	8.697549e-02	1.112967e-01	1.780186e-01	1.311563e-01	4.686231e-02	4.214700e-02	-1.216062e-02	3.540645e-03	1.565962e-02	1.137045e-02	4.289164e-03
56            	1.982427e-01	8.713088e-02	1.111118e-01	1.785475e-01	1.314008e-01	4.714664e-02	4.212710e-02	-1.199047e-02	3.302373e-03	1.504390e-02	1.082432e-02	4.219580e-03
57            	1.981537e-01	8.717397e-02	1.109798e-01	1.787047e-01	1.314752e-01	4.722954e-02	4.212283e-02	-1.190289e-02	3.005804e-03	1.463296e-02	1.032229e-02	4.310678e-03
58            	1.980379e-01	8.709814e-02	1.109397e-01	1.785212e-01	1.314225e-01	4.709870e-02	4.216191e-02	-1.192079e-02	2.753532e-03	1.443521e-02	9.971136e-03	4.464072e-03
