internalField   nonuniform List<vector>
1280
(
(-250894 -5.80561e+06 210445)
(-407071 -5.80525e+06 60928.8)
(-457602 -5.83042e+06 -25151.8)
(-308896 -5.86281e+06 -67509)
(-201492 -5.93611e+06 -87836.2)
(5885.89 -5.99197e+06 -98931.6)
(155174 -6.04201e+06 -100755)
(-256732 -5.80583e+06 213786)
(-411002 -5.80364e+06 59036.2)
(-458544 -5.82857e+06 -28090.8)
(-302485 -5.85992e+06 -71008.7)
(-189649 -5.93439e+06 -91841.9)
(24168.5 -5.98987e+06 -102842)
(178563 -6.03982e+06 -105145)
(-260063 -5.80642e+06 215822)
(-414464 -5.80245e+06 57968.1)
(-459412 -5.82712e+06 -29588.6)
(-299297 -5.85724e+06 -72542.2)
(-183395 -5.93269e+06 -93589)
(33734.7 -5.98757e+06 -104517)
(191190 -6.0376e+06 -106972)
(-263875 -5.80738e+06 218093)
(-418113 -5.80142e+06 56535.3)
(-460172 -5.82592e+06 -31953.2)
(-294257 -5.85451e+06 -74813.8)
(-173902 -5.93088e+06 -96221.6)
(47439.9 -5.98499e+06 -107005)
(209193 -6.03511e+06 -109602)
(-213782 -5.78085e+06 435710)
(-316700 -5.74043e+06 159492)
(-345296 -5.77377e+06 -81000.9)
(-211438 -5.81128e+06 -190915)
(-114727 -5.92804e+06 -237398)
(49558.3 -6.0503e+06 -253668)
(166935 -6.15027e+06 -246925)
(-216437 -5.7815e+06 443048)
(-317102 -5.73714e+06 157194)
(-342544 -5.77447e+06 -90718.3)
(-201461 -5.81107e+06 -201554)
(-100633 -5.92966e+06 -248010)
(69166 -6.05217e+06 -263864)
(190576 -6.15301e+06 -256947)
(-217994 -5.78287e+06 447355)
(-317150 -5.73598e+06 156284)
(-341052 -5.77536e+06 -95411.5)
(-196252 -5.81138e+06 -206522)
(-93125.5 -5.93067e+06 -252800)
(79555.2 -6.05319e+06 -268360)
(203180 -6.15441e+06 -261299)
(-219667 -5.78488e+06 452985)
(-316874 -5.73432e+06 154834)
(-338573 -5.77682e+06 -102381)
(-188261 -5.81192e+06 -213906)
(-81998.5 -5.93214e+06 -259938)
(94572.6 -6.05461e+06 -275029)
(221319 -6.15647e+06 -267647)
(-181939 -5.77157e+06 706749)
(-243020 -5.69937e+06 218438)
(-264955 -5.69704e+06 -140086)
(-133274 -5.69961e+06 -292077)
(-58086.1 -5.82779e+06 -351983)
(72077.7 -5.99158e+06 -369702)
(162902 -6.12322e+06 -357823)
(-183106 -5.77284e+06 714588)
(-235062 -5.69886e+06 213783)
(-256303 -5.70076e+06 -152856)
(-120370 -5.70339e+06 -305898)
(-42892.1 -5.83516e+06 -365893)
(90767.6 -6.00009e+06 -383011)
(184285 -6.13173e+06 -370350)
(-184294 -5.77484e+06 719700)
(-230846 -5.69935e+06 211422)
(-251668 -5.70325e+06 -159194)
(-113546 -5.70596e+06 -312722)
(-34750 -5.83945e+06 -372549)
(100691 -6.00493e+06 -389215)
(195553 -6.13641e+06 -376206)
(-185621 -5.77748e+06 725151)
(-224505 -5.70012e+06 207769)
(-244832 -5.70696e+06 -168280)
(-103483 -5.70992e+06 -322675)
(-22867.3 -5.84592e+06 -382322)
(114992 -6.01206e+06 -398283)
(211809 -6.14335e+06 -384754)
(-149319 -5.76603e+06 862993)
(-138908 -5.65337e+06 252634)
(-193665 -5.6526e+06 -192230)
(-49675.7 -5.62508e+06 -394392)
(2916.05 -5.7327e+06 -438307)
(110601 -5.91309e+06 -458386)
(183568 -6.06644e+06 -441851)
(-151708 -5.76815e+06 866070)
(-126213 -5.65241e+06 244326)
(-181496 -5.65621e+06 -204512)
(-34495.7 -5.62919e+06 -409334)
(18950.4 -5.74129e+06 -453602)
(128664 -5.92395e+06 -472607)
(203618 -6.07638e+06 -455331)
(-153648 -5.77099e+06 868037)
(-119856 -5.6521e+06 239200)
(-175192 -5.65853e+06 -211096)
(-26507 -5.63208e+06 -417063)
(27601.4 -5.74651e+06 -461356)
(138235 -5.93031e+06 -479597)
(214019 -6.08205e+06 -461978)
(-155741 -5.77452e+06 869965)
(-110616 -5.65224e+06 231021)
(-165916 -5.66215e+06 -220774)
(-15140.4 -5.63645e+06 -427959)
(39980 -5.75448e+06 -472526)
(151959 -5.93981e+06 -489664)
(228939 -6.0905e+06 -471549)
(-128056 -5.77646e+06 979788)
(-56939.7 -5.65294e+06 295959)
(-86503.1 -5.61706e+06 -227068)
(25232 -5.59052e+06 -478040)
(69669.7 -5.6749e+06 -509939)
(151498 -5.86035e+06 -528146)
(211660 -6.02676e+06 -509617)
(-129734 -5.77963e+06 982196)
